1 0.704895
2 0.687374
3 0.086565
4 0.0861837
5 0.0859531
6 0.0857207
7 0.0202187
8 0.0200125
9 0.00623019
10 0.00593612
11 0.00581414
12 0.00574483
13 0.00195706
14 0.00194305
15 0.00168273
16 0.00164826
17 0.00156233
18 0.00153008
19 0.00152196
20 0.00150052
21 0.0014872
22 0.00147821
23 0.00147017
24 0.00117085
25 0.000928752
26 0.000701015
27 0.000446462
28 0.000395676
29 0.000316878
30 0.000305099
31 0.000250846
32 0.00022161
33 0.000200652
34 0.000166892
35 0.000160413
36 0.000155453
37 9.61709e-05
38 9.54109e-05
39 9.48282e-05
40 8.9085e-05
41 8.84984e-05
42 8.49882e-05
43 7.82467e-05
44 7.54361e-05
45 7.29722e-05
46 6.73132e-05
47 6.12763e-05
48 5.81798e-05
49 5.1325e-05
50 4.69196e-05
51 4.55194e-05
52 4.23137e-05
53 3.71154e-05
54 3.0331e-05
55 2.31102e-05
56 2.14825e-05
57 1.99807e-05
58 1.95419e-05
59 1.83784e-05
60 1.78399e-05
61 1.64447e-05
62 1.61697e-05
63 1.60819e-05
64 1.27174e-05
65 1.2472e-05
66 1.2017e-05
67 1.15154e-05
68 1.12168e-05
69 1.10156e-05
70 1.0939e-05
71 1.06341e-05
72 9.82937e-06
73 9.14447e-06
74 8.19124e-06
75 7.73581e-06
76 7.50797e-06
77 7.39935e-06
78 7.04218e-06
79 6.86936e-06
80 6.48943e-06
81 6.20419e-06
82 5.72601e-06
83 5.56288e-06
84 5.33238e-06
85 5.24234e-06
86 5.01898e-06
87 4.96311e-06
88 4.6168e-06
89 4.38286e-06
90 4.30737e-06
91 4.1375e-06
92 4.05294e-06
93 3.90883e-06
94 3.73924e-06
95 3.55001e-06
96 3.52807e-06
97 3.41088e-06
98 3.37607e-06
99 3.25481e-06
100 3.12567e-06
101 2.88826e-06
102 2.61908e-06
103 2.29442e-06
104 2.1393e-06
105 1.93188e-06
106 1.81333e-06
107 1.66926e-06
108 1.51935e-06
109 1.32972e-06
110 7.02069e-07
